"I am writing in order to express my disappointment about your musical show "" Over the Rainbow "" .","I am writing in order to express my disappointment with your musical show "" Over the Rainbow "" ."
"I saws the show 's advertisement hanging up of a wall in London where I was spending my holiday with some friends . I convinced them to go there with me because I had heard good references about your Company and , above all , about the main star , Danny Brook .","I saw the show 's advertisement hanging up on a wall in London where I was spending my holiday with some friends . I convinced them to go there with me because I had heard good reviews of your Company and , above all , because of the main star , Danny Brook ."
"The problems started in the box office , where we asked for the discounts you announced in the advertisement , and the man who was selling the tickets said that they did n't exist .","The problems started at the box office , where we asked for the discounts you announced in the advertisement , and the man who was selling the tickets said that they did n't exist ."
"On the other hand , the theatre restaurant was closed because unknown reasons .","In addition , the theatre restaurant was closed for unknown reasons ."
You promised a perfect evening but it became a big disastrous !,You promised a perfect evening but it became a big disaster !
I would like some kind of explanation and receive my money back .,I would like some kind of explanation and to get my money back .
"If you do n't agree , I will act consequently .","If you do n't agree , I will act ."
"She began to read "" Dear Carolin ..","She began to read , "" Dear Carolin .. """
There was only a person who used to call her by this name .,There was only one person who used to call her by this name .
"When they were saying goodbye Paul "" I will be the last person who will kiss you "" . "" It sounds nice but I do n't believe it "" she replied .","When they were saying goodbye Paul said , "" I will be the last person who will kiss you "" . "" It sounds nice but I do n't believe it , "" she replied ."
 You only have to wait  he said .," You only have to wait ,  he said ."
At this moment Carole was living with her husband but they did n't love each other any more .,At the time Carole was living with her husband but they did n't love each other any more .
Her friend Pat had explained the whole story at her husband .,Her friend Pat had explained the whole story to her husband .
What she would do ?,What would she do ?
I went to London for a holiday last week and read the advertisement about ' Over the rainbow ' in the hotel which I stayed .,I went to London for a holiday last week and read the advertisement about ' Over the rainbow ' in the hotel which I stayed in .
"Secondly , starting time was 19:30 but it started 20:15 so I was waited for 45 minutes .","Secondly , the starting time was 19:30 but it started 20:15 so I was waiting for 45 minutes ."
It was so long time to wait in the theatre .,It was such a long time to wait in the theatre .
"Despite of the fact that I am a student , I could not get any discounts .","Despite the fact that I am a student , I could not get any discounts ."
I also visited your restaurant after the show but already closed because the show finished late .,I also visited your restaurant after the show but it was already closed because the show finished late .
"Because of the reason above , I , indeed , spent awful last night in London .","For the reasons above , I , indeed , spent an awful last night in London ."
"I would like you to refund , otherwise , I will take an action .","I would like you to refund , otherwise , I will take action ."
I look forward to receiving reply to my enquiry .,I look forward to receiving a reply to my enquiry .
People will wear this kind of clothes 100 years later from now .,People will wear this kind of clothes 100 years from now .
If weather is hot then we do n't have to wear under wear because very thin and light clothes will support our bodies .,If the weather is hot then we do n't have to wear underwear because very thin and light clothes will support our bodies .
"For example , T - shirts for women are included bra : easy to take it out when you wash it , is very simple and comfortable .","For example , T - shirts for women will include a bra : easy to take it out when you wash it , and it is very simple and comfortable ."
We ca n't feel it and easy to remove and just can wash it .,We ca n't feel it and easy to remove and just wash it .
"When it 's very cold winter , we just wear light clothes what we want , in our style .","When it 's very cold in winter , we just wear light clothes what we want , in our style ."
Because special warm and healthy material will be developed and use them inside thin clothes so we do n't need to put heavy clothes on our bodies .,Because special warm and healthy material will be developed and used inside thin clothes so we do n't need to put heavy clothes on our bodies .
We can show our body line in winter as well .,We can show our figure in winter as well .
Most important thing is that we do n't have to kill the animals only for people 's cruel aims .,Most important thing is that we do n't have to kill animals just for people 's cruel aims .
I WANT TO THAK YOU FOR PREPARING SUCH A GOOD PROGRAMME FOR US AND ESPECIALLY FOR TAKING US TO THE RIVER TRIP TO GREENWICH .,I WANT TO THANK YOU FOR PREPARING SUCH A GOOD PROGRAMME FOR US AND ESPECIALLY FOR TAKING US ON THE RIVER TRIP TO GREENWICH .
I WOULD LIKE TO KNOW IF THERE IS ANY CHANCE OF CHANGING THE PROGRAMME BECAUSE WE HAVE FOUND A VERY INTERESTING ACTIVITY TO DO ON TUESDAY 14 MARCH . IT CONSISTS ON VISITING THE LONDON FASHION AND LEISURE SHOW IN THE CENTRAL EXHIBITION HALL .,I WOULD LIKE TO KNOW IF THERE IS ANY CHANCE OF CHANGING THE PROGRAMME BECAUSE WE HAVE FOUND A VERY INTERESTING ACTIVITY TO DO ON TUESDAY 14 MARCH . IT INVOLVES VISITING THE LONDON FASHION AND LEISURE SHOW AT THE CENTRAL EXHIBITION HALL .
I THINK IT 'S A GREAT OPPORTUNITY TO MAKE GREATER USE OF OUR KNOWLEDGE OF ENGLISH LANGUAGE .,I THINK IT 'S A GREAT OPPORTUNITY TO MAKE GREATER USE OF OUR KNOWLEDGE OF THE ENGLISH LANGUAGE .
"ON THE OTHER HAND , WE COULD LEARN THE DIFFERENT WAYS TO GET TO THE CENTRAL EXHIBITION HALL .","ALSO , WE COULD LEARN THE DIFFERENT WAYS TO GET TO THE CENTRAL EXHIBITION HALL ."
I WILL BE WRITING ANXIOUSLY FOR YOUR RESPONSE .,I WILL BE WAITING ANXIOUSLY FOR YOUR RESPONSE .
"FAMOUS PEOPLE SUCH AS SINGERS , FILM STARS , ETC ARE ALWAYS THE CENTRE OF ATTENTION .","FAMOUS PEOPLE SUCH AS SINGERS , FILM STARS , ETC , ARE ALWAYS THE CENTRE OF ATTENTION ."
"AS SOME OF THEM ARE CONSIDERED IDOLS , THEIR FANS WANT TO KNOW HOW THEY ACT IN THEIR PRIVATE LIVES , WITH THEIR FAMILY OR FRIENDS .","AS SOME OF THEM ARE CONSIDERED IDOLS , THEIR FANS WANT TO KNOW HOW THEY BEHAVE IN THEIR PRIVATE LIVES , WITH THEIR FAMILY OR FRIENDS ."
"AS A RESPONSE TO THIS DEMAND OF INFORMATION , JOURNALISTS FOLLOW FAMOUS PEOPLE DAY AND NIGHT IN MANY DIFFERENT WAYS , FOR EXAMPLE , CHASING THEIR CARS , TAKING PHOTOGRAPHS OR BREAKING INTO THEIR HOUSES WHILE THEY ARE ON HOLIDAYS .","AS A RESPONSE TO THIS DEMAND FOR INFORMATION , JOURNALISTS FOLLOW FAMOUS PEOPLE DAY AND NIGHT IN MANY DIFFERENT WAYS , FOR EXAMPLE , CHASING THEIR CARS , TAKING PHOTOGRAPHS OR BREAKING INTO THEIR HOUSES WHILE THEY ARE ON HOLIDAY ."
