My town is a medium size city with eighty thousand inhabitants .,My town is a medium - sized city with eighty thousand inhabitants .
It has a high density population because its small territory .,It has a high - density population because of its small territory .
"Despite of it is an industrial city , there are many shops and department stores .","Although it is an industrial city , there are many shops and department stores ."
I recommend visiting the artificial lake in the certer of the city which is surrounded by a park .,I recommend visiting the artificial lake in the center of the city which is surrounded by a park .
Pasteries are very common and most of them offer the special dessert from the city .,Pasteries are very common and most of them offer the special dessert of the city .
"There are a comercial zone along the widest street of the city where you can find all kind of establishments : banks , bars , chemists , cinemas , pet shops , restaurants , fast food restaurants , groceries , travel agencies , supermarkets and others .","There is a commercial zone along the widest street of the city where you can find all kinds of businesses : banks , bars , chemists , cinemas , pet shops , restaurants , fast food restaurants , grocers , travel agencies , supermarkets and others ."
"Most of the shops have sales and offers at least three months of the year : January , June and August .","Most of the shops have sales and offers in at least three months of the year : January , June and August ."
"The quality of the products and services are quite good , because there are a huge competition , however I suggest you taking care about some fakes or cheats .","The quality of the products and services is quite good , because there is huge competition . However , I recommend you be careful of fakes or cheats ."
"People want to be a doctor , other want to be a teacher .","Some people want to be a doctor , others want to be a teacher ."
"I have my own plan too but I do n't same to them , I want to become a Journalist .","I have my own plan too , but I do n't want to be the same as them . I want to become a journalist ."
Working as a Journalist is very exciting because many reasons .,Working as a journalist is very exciting for many reasons .
"Second , I can travel all around the world , meet different people who are very friendly .","Second , I can travel all around the world , and meet different people who are very friendly ."
"Next , I will have a chance appear in big parties or events and I can make friends with famous person - It 's interesting !","Next , I will have a chance to attend big parties or events and I can make friends with famous people . It 's interesting !"
"Finally , I will have high salary when I am Journalist .","Finally , I will have a high salary when I am a journalist ."
"To be Journalist , I must study very hard so I 'll try to learn in order to make my dream comes true .","To be a journalist , I must study very hard , so I 'll try to learn in order to make my dream come true ."
"Now days each family has more then 1 car for each one , this is only one of few reason that people use less public transport .","Nowadays , each family has more than 1 car for each person , this is only one of several reasons why people use less public transport ."
Before was really convenient to go by bus or by train but with the new economy the travel tickets are more expensive and a big difference from the past is that it is less expensive to go far then near .,"Before , it was really convenient to go by bus or by train , but with the new economy , the fares are more expensive and a big difference from the past is that it is less expensive to go long - distance than short journeys ."
"I remember from my town Palermo in Italy to go to Milan was about 340 pounds , now if we are lucky we can arrive to New York .","I remember to go from my town , Palermo , to Milan was about 340 pounds . Now , if we are lucky , we can get to New York ."
